experiment_id	phase	description	retrieval_score	recall_at_k	ndcg_at_k	precision_at_k	mrr	map_at_k	hit_rate_at_k	num_eval_samples	wall_clock_seconds	delta_vs_best	result	reasoning	timestamp
1	1-Chunking	Baseline: fixed-512 chunks, dense top_k=5, no reranker	0.8387	0.7850	0.8923	0.3140	0.8933	0.6577	0.9950	200	19.8	N/A (first run)	KEEP	HIT_RATE=0.9950; RECALL=0.7850 reveals ~42% of queries find only 1 of 2 relevant docs. Increasing TOP_K is next.	2026-06-01T20:55:45
2	2-Retrieval	Dense top_k=10, no reranker (RERANK_TOP_N left at 5)	0.8387	0.7850	0.8923	0.1570	0.8933	0.6577	0.9950	200	9.2	+0.0000	REVERT	NoReranker truncates to RERANK_TOP_N=5 regardless of TOP_K. Same 5 docs returned. Must increase RERANK_TOP_N alongside TOP_K for no-reranker experiments.	2026-06-01T20:58:08
3	2-Retrieval	Dense top_k=10, RERANK_TOP_N=10, no reranker	0.8741	0.8825	0.8657	0.1765	0.8933	0.6844	0.9950	200	11.8	+0.0354	KEEP	Recall jumped +0.0975 (0.785->0.8825) by expanding to 10 positions. NDCG dropped -0.027 (expected with more positions). Composite improved +0.035. Continue expanding k.	2026-06-01T21:00:10
4	2-Retrieval	Dense top_k=20 RERANK_TOP_N=20 no reranker	0.8861	0.9225	0.8496	0.0923	0.8933	0.6906	0.9950	200	8.7	+0.0119	KEEP	Recall+0.04 NDCG-0.016 composite+0.012 diminishing returns reranker needed	2026-06-01T21:02:17
5	3-Reranking	Dense top_k=20 reranker L-6-v2 RERANK_TOP_N=20	0.9137	0.9225	0.9049	0.0923	0.9546	0.7675	0.9950	200	814.8	+0.0276	KEEP	Reranker: NDCG 0.8496->0.9049 (+0.055) MRR 0.8933->0.9546. Recall unchanged 0.9225. Wall clock 814s. Next: expand k to 30 to capture remaining 7.75% missing docs.	2026-06-01T21:28:05
6	3-Reranking	Dense top_k=30 reranker L-6-v2 RERANK_TOP_N=30	0.9244	0.9450	0.9037	0.0630	0.9596	0.7771	1.0000	200	1183.9	+0.0107	KEEP	HIT_RATE=1.0 perfect. Recall 0.9225->0.9450 (+0.022). NDCG stable 0.9049->0.9037 (-0.001). Continue expanding k.	2026-06-01T21:52:15
7	3-Reranking	Dense top_k=40 reranker L-6-v2 RERANK_TOP_N=40	0.9264	0.9550	0.8978	0.0478	0.9596	0.7761	1.0000	200	1578.0	+0.0020	KEEP	Recall +0.01 (0.945->0.955) NDCG -0.006 (0.9037->0.8978). Diminishing returns accelerating.	2026-06-01T22:20:16
8	3-Reranking	Dense top_k=50 reranker L-6-v2 RERANK_TOP_N=50	0.9285	0.9600	0.8971	0.0384	0.9596	0.7771	1.0000	200	1973.0	+0.0021	KEEP	Recall +0.005 (0.955->0.96) NDCG -0.0007 stabilized. Reranker maintaining quality at k=50.	2026-06-01T22:54:57
9	3-Reranking	Dense top_k=60 reranker L-6-v2 RERANK_TOP_N=60	0.9284	0.9600	0.8967	0.0320	0.9596	0.7766	1.0000	200	2177.4	-0.0002	REVERT	Recall identical to k=50 (0.9600). Dense ceiling confirmed at k=50. NDCG slightly worse. No benefit from k=60.	2026-06-01T23:36:51
10	3-Reranking	Dense top_k=30 reranker L-12-v2 RERANK_TOP_N=30	0.9249	0.9450	0.9049	0.0630	0.9652	0.7772	1.0000	200	2143.4	-0.0036	REVERT	L-12-v2 NDCG=0.9049 only +0.001 vs L-6-v2. MRR improved +0.006 but second relevant doc still ranks 3-4. Score 0.9249 < best 0.9285.	2026-06-02T00:16:10
